,name,property_type,room_type,bed_type,minimum_nights,maximum_nights,cancellation_policy,accommodates,bedrooms,beds,number_of_reviews,bathrooms,price,id,host_name,host_response_time,host_response_rate,host_is_superhost,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,review_scores_rating
62,Bondi Beach Dreaming 3-Bed House,House,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,8,3.0,6.0,139,2.0,399.0,10423504,Cat,within an hour,100.0,0,10.0,10.0,10.0,10.0,10.0,9.0,96.0
63,,Apartment,Private room,Real Bed,1,1125,flexible,4,1.0,2.0,0,1.0,105.0,10359729,Seda,,,0,,,,,,,
64,Private OceanFront - Bathtub Beach. Spacious House,House,Entire home/apt,Real Bed,3,1125,strict_14_with_grace_period,14,4.0,10.0,32,4.0,795.0,10317142,Noah,within a day,50.0,0,10.0,9.0,10.0,10.0,10.0,10.0,94.0
65,Panoramic Ocean View Studio in  Quiet Setting,Guesthouse,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,2,1.0,1.0,114,1.0,120.0,10578580,Andrei,within an hour,100.0,0,9.0,9.0,10.0,10.0,10.0,9.0,95.0
66,PORTO DOWNTOWN FLATS-RIBEIRA STUDIO,Apartment,Entire home/apt,Real Bed,2,28,strict_14_with_grace_period,4,0.0,2.0,62,1.0,55.0,10664888,Tim,within an hour,100.0,1,10.0,10.0,10.0,10.0,10.0,10.0,97.0
67,Luxury 1-Bdrm in Downtown Brooklyn,Apartment,Entire home/apt,Real Bed,3,30,strict_14_with_grace_period,2,1.0,1.0,1,1.0,144.0,10542174,Ashley,,,0,,,,,,,
68,Jardim Botânico Gourmet 2 bdroom,Apartment,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,6,2.0,5.0,9,2.0,395.0,10570041,Roberta (Beta) Gatti,within a few hours,98.0,1,10.0,9.0,10.0,10.0,10.0,9.0,91.0
69,luxury apartment in istanbul taxsim,Apartment,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,4,1.0,3.0,135,1.0,269.0,1038163,Osman,within an hour,100.0,0,9.0,9.0,10.0,10.0,10.0,9.0,91.0
70,Where Castles and Art meet the Sea,Apartment,Entire home/apt,Real Bed,5,1125,moderate,4,1.0,2.0,13,1.0,80.0,10448594,Jose,within a few hours,100.0,0,10.0,10.0,10.0,10.0,10.0,10.0,95.0
71,Heroísmo IV,Apartment,Entire home/apt,Real Bed,1,1125,moderate,2,0.0,1.0,31,1.0,29.0,10487917,Apartments2Enjoy,within a day,100.0,1,9.0,9.0,9.0,9.0,9.0,9.0,89.0
